param,mean,median,1.000_CI_LB,1.000_CI_UB
gamma-quantile_param_0,0.630055,0.633049,0.000868,0.999926
gamma-quantile_param_1,0.725972,0.743716,0.143765,0.999994
gamma-quantile_param_2,0.431387,0.385454,0.001831,0.984540
gamma-quantile_param_3,0.572588,0.589462,0.033038,0.988446
gamma-quantile_param_4,0.411906,0.424294,0.005924,0.895948
gamma-quantile_param_5,0.705077,0.786247,0.039230,0.995944
gamma-quantile_param_6,0.280392,0.201099,0.000110,0.951639
gamma-quantile_param_7,0.417066,0.389102,0.000130,0.998786
gamma-quantile_param_8,0.330583,0.207428,0.000219,0.999167
gamma-quantile_param_9,0.412312,0.423851,0.000174,0.996171
gamma-quantile_param_10,0.478433,0.475438,0.004426,0.999212
gamma-quantile_param_11,0.658578,0.713017,0.037702,0.992765
gamma-quantile_param_12,0.212054,0.136533,0.000035,0.991614
gamma-quantile_param_13,0.272985,0.176851,0.000176,0.995803
gamma-quantile_param_14,0.738531,0.846626,0.009934,0.999999
gamma-quantile_param_15,0.549664,0.621219,0.000127,0.996532
gamma-quantile_param_16,0.659426,0.741746,0.010279,0.997657
gamma-quantile_param_17,0.349676,0.309915,0.000764,0.981266
gamma-quantile_param_18,0.539080,0.634287,0.000225,0.997922
gamma-quantile_param_19,0.514994,0.558777,0.000088,0.999665
gamma-quantile_param_20,0.885322,0.977327,0.006742,0.999997
gamma-quantile_param_21,0.544407,0.557858,0.001347,0.999886
gamma-quantile_param_22,0.980705,0.993403,0.617135,0.999980
gamma-quantile_param_23,0.958606,0.989307,0.530896,1.000000
gamma-quantile_param_24,0.778669,0.840216,0.040837,0.998599
gamma-quantile_param_25,0.632841,0.682414,0.006793,0.990543
gamma-quantile_param_26,0.362156,0.276412,0.004685,0.938402
gamma-quantile_param_27,0.406382,0.507314,0.005534,0.842314
gamma-quantile_param_28,0.506923,0.517204,0.019500,0.999143
gamma-quantile_param_29,0.133254,0.085576,0.000028,0.934277
gamma-quantile_param_30,0.245989,0.159862,0.000072,0.982234
gamma-quantile_param_31,0.218724,0.153915,0.000135,0.963583
gamma-quantile_param_32,0.472485,0.454291,0.000117,0.979488
gamma-quantile_param_33,0.474675,0.422776,0.000731,0.988643
gamma-quantile_param_34,0.247581,0.200668,0.000034,0.848968
gamma-quantile_param_35,0.387302,0.382278,0.001163,0.873703
gamma-quantile_param_36,0.234370,0.140053,0.000112,0.996184
gamma-quantile_param_37,0.377553,0.346596,0.000752,0.996009
gamma-quantile_param_38,0.497001,0.519900,0.004257,0.995640
gamma-quantile_param_39,0.575511,0.576089,0.026440,0.992363
gamma-quantile_param_40,0.630736,0.661815,0.028475,0.999154
gamma-quantile_param_41,0.744599,0.856097,0.001404,0.999772
gamma-quantile_param_42,0.763664,0.925000,0.000030,0.999993
gamma-quantile_param_43,0.538330,0.525998,0.003922,0.999999
gamma-quantile_param_44,0.465699,0.435437,0.000964,0.999543
gamma-quantile_param_45,0.488473,0.487557,0.319048,0.655841
gamma-quantile_param_46,0.484455,0.486582,0.047495,0.939321
gamma-quantile_param_47,0.405153,0.273440,0.007134,0.987620
gamma-quantile_param_48,0.347878,0.149171,0.000001,0.999908
gamma-quantile_param_49,0.381824,0.270102,0.000027,0.998087
gamma-quantile_param_50,0.223801,0.190719,0.003901,0.804656
gamma-quantile_param_51,0.421561,0.337564,0.009403,0.998444
gamma-quantile_param_52,0.442909,0.406450,0.002766,0.981583
gamma-quantile_param_53,0.640623,0.674066,0.005692,0.999984
gamma-quantile_param_54,0.655160,0.626565,0.350815,0.986196
gamma-quantile_param_55,0.748712,0.773794,0.230460,0.997721
gamma-quantile_param_56,0.471505,0.436964,0.002736,0.996940
gamma-quantile_param_57,0.532370,0.555074,0.008197,0.989685
gamma-quantile_param_58,0.509578,0.503013,0.011827,0.982831
gamma-quantile_param_59,0.522606,0.500238,0.002274,0.983507
gamma-quantile_param_60,0.704159,0.750544,0.079220,0.999856
gamma-quantile_param_61,0.728089,0.731020,0.230622,0.999138
gamma-quantile_param_62,0.345608,0.305289,0.003538,0.936285
gamma-quantile_param_63,0.791550,0.813026,0.288544,0.999141
gamma-quantile_param_64,0.215412,0.202495,0.002247,0.687798
gamma-quantile_param_65,0.816162,0.832502,0.450377,0.999214
gamma-quantile_param_66,0.276593,0.217872,0.010019,0.871298
gamma-quantile_param_67,0.458642,0.460774,0.083584,0.727034
gamma-quantile_param_68,0.384887,0.379072,0.001389,0.995014
gamma-quantile_param_69,0.347487,0.348509,0.070869,0.641106
gamma-quantile_param_70,0.308400,0.255427,0.004902,0.869302
gamma-quantile_param_71,0.792007,0.807820,0.472823,0.999366
gamma-quantile_param_72,0.634122,0.815984,0.020738,0.999869
gamma-quantile_param_73,0.681159,0.676672,0.340453,0.955790
gamma-quantile_param_74,0.610363,0.637282,0.003594,0.998323
gamma-quantile_param_75,0.588603,0.659618,0.005004,0.996343
gamma-quantile_param_76,0.842186,0.956049,0.010252,0.997077
gamma-quantile_param_77,0.764198,0.824443,0.110209,0.978627
gamma-quantile_param_78,0.783985,0.817813,0.472341,0.982247
gamma-quantile_param_79,0.767177,0.789789,0.274345,0.997440
gamma-quantile_param_80,0.678860,0.682993,0.073794,0.998182
gamma-quantile_param_81,0.388753,0.400653,0.017130,0.784700
gamma-quantile_param_82,0.329034,0.247362,0.000437,0.995867
gamma-quantile_param_83,0.315323,0.190443,0.000564,0.983372
gamma-quantile_param_84,0.832390,0.916326,0.002882,0.998790
gamma-quantile_param_85,0.541942,0.571765,0.006149,0.889602
gamma-quantile_param_86,0.641740,0.686045,0.040189,0.991470
gamma-quantile_param_87,0.867774,0.880699,0.603990,0.991449
gamma-quantile_param_88,0.561034,0.555022,0.286150,0.922072
gamma-quantile_param_89,0.767272,0.770255,0.525107,0.932715
gamma-quantile_param_90,0.831332,0.862199,0.104822,0.999104
gamma-quantile_param_91,0.561468,0.570383,0.003196,0.999085
gamma-quantile_param_92,0.833429,0.839218,0.569013,0.984824
gamma-quantile_param_93,0.720921,0.695688,0.409763,0.975267
gamma-quantile_param_94,0.511028,0.511205,0.009356,0.977793
gamma-quantile_param_95,0.564398,0.545541,0.185507,0.965741
gamma-quantile_param_96,0.689917,0.701977,0.136830,0.994504
gamma-quantile_param_97,0.809322,0.811720,0.651847,0.923341
gamma-quantile_param_98,0.665282,0.659733,0.445288,0.941464
gamma-quantile_param_99,0.360164,0.367704,0.003270,0.910271
gamma-quantile_param_100,0.553509,0.555611,0.408998,0.689070
gamma-quantile_param_101,0.373040,0.339555,0.000491,0.998900
gamma-quantile_param_102,0.790824,0.837726,0.051240,0.960428
gamma-quantile_param_103,0.425840,0.447721,0.023454,0.619782
gamma-quantile_param_104,0.590000,0.590530,0.451241,0.744137
gamma-quantile_param_105,0.618669,0.582039,0.012728,0.957627
gamma-quantile_param_106,0.416039,0.411365,0.223650,0.704564
gamma-quantile_param_107,0.515320,0.510271,0.008971,0.946639
gamma-quantile_param_108,0.534186,0.535500,0.319812,0.753892
gamma-quantile_param_109,0.611897,0.615209,0.309850,0.860074
gamma-quantile_param_110,0.837989,0.927705,0.000461,0.999968
gamma-quantile_param_111,0.604955,0.608690,0.308538,0.858018
gamma-quantile_param_112,0.453047,0.501706,0.007418,0.741902
gamma-quantile_param_113,0.512004,0.516982,0.200092,0.714950
gamma-quantile_param_114,0.817916,0.844155,0.405511,0.945012
gamma-quantile_param_115,0.586065,0.592393,0.252494,0.784755
gamma-quantile_param_116,0.415372,0.349249,0.000645,0.985491
gamma-quantile_param_117,0.827193,0.866662,0.061664,0.998077
gamma-quantile_param_118,0.209178,0.174396,0.000187,0.661079
gamma-quantile_param_119,0.500559,0.500599,0.404994,0.604163
gamma-quantile_param_120,0.870948,0.874357,0.674888,0.938971
gamma-quantile_param_121,0.464429,0.542151,0.016217,0.919201
gamma-quantile_param_122,0.816491,0.869404,0.406065,0.957227
gamma-quantile_param_123,0.334168,0.352836,0.001676,0.782667
gamma-quantile_param_124,0.842950,0.856900,0.446407,1.000000
gamma-quantile_param_125,0.854873,0.899985,0.171369,0.999405
gamma-quantile_param_126,0.495683,0.498237,0.166422,0.680693
gamma-quantile_param_127,0.703619,0.754150,0.020696,0.999937
gamma-quantile_param_128,0.560193,0.559641,0.428389,0.688924
gamma-quantile_param_129,0.769279,0.769887,0.363441,0.996180
gamma-quantile_param_130,0.558908,0.561096,0.403253,0.678339
gamma-quantile_param_131,0.841127,0.846537,0.627931,0.991451
gamma-quantile_param_132,0.519232,0.519098,0.360588,0.660895
gamma-quantile_param_133,0.334998,0.368641,0.010273,0.763607
gamma-quantile_param_134,0.731642,0.735358,0.526996,0.893432
gamma-quantile_param_135,0.687484,0.772931,0.042190,0.950257
gamma-quantile_param_136,0.678668,0.657163,0.429264,0.981798
gamma-quantile_param_137,0.381657,0.375432,0.093062,0.723629
gamma-quantile_param_138,0.606895,0.610048,0.415398,0.776794
gamma-quantile_param_139,0.753511,0.755762,0.515616,0.934743
gamma-quantile_param_140,0.432964,0.433699,0.077053,0.777620
gamma-quantile_param_141,0.614619,0.618107,0.416131,0.764073
gamma-quantile_param_142,0.737710,0.699040,0.442671,0.994026
gamma-quantile_param_143,0.713268,0.756467,0.328701,0.922711
gamma-quantile_param_144,0.746174,0.735447,0.400278,0.998044
gamma-quantile_param_145,0.742242,0.775250,0.154137,0.878734
gamma-quantile_param_146,0.500368,0.534319,0.023892,0.964648
gamma-quantile_param_147,0.531841,0.534286,0.323013,0.773846
gamma-quantile_param_148,0.818743,0.914694,0.041728,0.999480
gamma-quantile_param_149,0.529268,0.525746,0.387646,0.679808
gamma-quantile_param_150,0.516750,0.482227,0.039025,0.980282
gamma-quantile_param_151,0.288322,0.170546,0.008142,0.994189
gamma-quantile_param_152,0.717967,0.740805,0.102306,0.905152
gamma-quantile_param_153,0.513835,0.512389,0.369840,0.657381
gamma-quantile_param_154,0.476236,0.477770,0.350979,0.605984
gamma-quantile_param_155,0.712773,0.778138,0.003250,0.990519
gamma-quantile_param_156,0.474877,0.474337,0.389352,0.558898
gamma-quantile_param_157,0.429309,0.431423,0.075358,0.615747
gamma-quantile_param_158,0.543855,0.541452,0.351908,0.868432
gamma-quantile_param_159,0.531344,0.524277,0.331405,0.815534
gamma-quantile_param_160,0.382695,0.392446,0.022456,0.753080
gamma-quantile_param_161,0.474636,0.457616,0.283020,0.964438
gamma-quantile_param_162,0.576988,0.538833,0.011579,0.999604
gamma-quantile_param_163,0.651429,0.721592,0.023370,0.916197
gamma-quantile_param_164,0.339335,0.347004,0.000254,0.878439
gamma-quantile_param_165,0.511471,0.512050,0.404763,0.610077
gamma-quantile_param_166,0.581106,0.579502,0.424776,0.841036
gamma-quantile_param_167,0.463733,0.463347,0.365295,0.583963
gamma-quantile_param_168,0.523080,0.522941,0.412224,0.638886
gamma-quantile_param_169,0.509920,0.509502,0.405306,0.648025
gamma-quantile_param_170,0.831739,0.839975,0.565084,0.952444
gamma-quantile_param_171,0.493200,0.495206,0.335495,0.599543
gamma-quantile_param_172,0.435190,0.392501,0.003062,0.997029
gamma-quantile_param_173,0.224537,0.186729,0.000860,0.861516
gamma-quantile_param_174,0.177375,0.156874,0.000806,0.677823
gamma-quantile_param_175,0.330220,0.249454,0.002285,0.998935
gamma-quantile_param_176,0.494806,0.508627,0.000873,0.985400
gamma-quantile_param_177,0.864706,0.885623,0.114144,0.999609
gamma-quantile_param_178,0.499636,0.498556,0.383871,0.627718
gamma-quantile_param_179,0.606861,0.599095,0.462452,0.946261
gamma-quantile_param_180,0.599498,0.599987,0.501302,0.698319
gamma-quantile_param_181,0.340004,0.378221,0.005821,0.664833
gamma-quantile_param_182,0.623599,0.720223,0.009287,0.994976
gamma-quantile_param_183,0.506997,0.508121,0.359665,0.664766
