param,mean,median,1.000_CI_LB,1.000_CI_UB
beta_loc_0_pop_0,2.062185,2.011455,-1.516255,5.264435
beta_loc_1_pop_0,0.561104,0.805272,-3.315856,4.132425
beta_loc_2_pop_0,4.469125,5.325569,-0.212270,8.646737
beta_loc_3_pop_0,-7.359574,-7.193872,-11.363084,-4.012871
beta_loc_4_pop_0,-6.949399,-7.634732,-12.150194,-2.431539
beta_loc_5_pop_0,-6.195935,-6.283108,-9.418983,-3.168993
beta_loc_6_pop_0,-2.723242,-2.729508,-6.141634,0.580744
beta_loc_7_pop_0,0.480234,0.865272,-5.022539,3.946047
beta_loc_8_pop_0,-0.777155,-0.176393,-5.126903,3.368570
beta_loc_9_pop_0,0.479817,0.570404,-3.159075,3.487678
beta_loc_10_pop_0,2.688464,2.101071,-0.955205,8.722004
beta_loc_11_pop_0,2.471650,2.489148,-0.596611,5.412562
beta_loc_12_pop_0,-1.831046,-2.411357,-6.241458,5.511492
beta_loc_13_pop_0,2.016476,2.047224,-4.390199,7.977050
beta_loc_14_pop_0,-4.654519,-4.603456,-7.867170,-1.322584
beta_loc_15_pop_0,2.960528,3.239779,-0.971326,7.082649
beta_loc_16_pop_0,-5.075101,-6.018379,-10.009393,1.963737
beta_loc_17_pop_0,-2.987704,-3.657439,-9.965426,3.807531
beta_loc_18_pop_0,1.752846,1.621227,-1.331085,5.017511
beta_loc_19_pop_0,3.513286,3.067854,-0.811050,8.528798
beta_loc_20_pop_0,-5.330073,-5.255058,-9.107387,-2.535576
beta_loc_21_pop_0,-4.349773,-4.191550,-9.456108,0.136987
beta_loc_22_pop_0,-6.246091,-6.112274,-9.910385,-3.317566
beta_loc_23_pop_0,-5.345720,-4.866554,-8.879264,-2.846615
beta_loc_24_pop_0,-5.435438,-5.440610,-8.264490,-1.957138
beta_loc_25_pop_0,-5.268789,-5.183477,-9.363308,-2.701133
beta_loc_26_pop_0,2.868415,4.137974,-3.934250,9.659595
beta_loc_27_pop_0,2.505671,4.263469,-6.079847,10.338800
beta_loc_28_pop_0,-4.983707,-4.885818,-11.276633,-0.231050
beta_loc_29_pop_0,-2.097368,-2.157488,-5.082565,0.722076
beta_loc_30_pop_0,-2.020021,-1.534144,-8.560086,2.828006
beta_loc_31_pop_0,-3.121841,-3.084230,-6.551955,0.213379
beta_loc_32_pop_0,1.549948,1.450313,-1.149488,5.240757
beta_loc_33_pop_0,1.926020,2.014678,-1.183168,4.946005
beta_loc_34_pop_0,-3.051717,-3.213138,-7.233819,1.008034
beta_loc_35_pop_0,0.302525,0.242677,-2.753610,3.049265
beta_loc_36_pop_0,-2.344790,-2.671373,-6.101586,1.914887
beta_loc_37_pop_0,0.985357,0.976946,-2.811262,6.297757
beta_loc_38_pop_0,1.637330,1.503965,-0.979510,6.245323
beta_loc_39_pop_0,2.167776,2.353502,-0.982157,4.597820
beta_loc_40_pop_0,0.487525,0.597857,-3.230779,2.640993
beta_loc_41_pop_0,-4.548099,-4.537374,-6.816273,-2.021235
beta_loc_42_pop_0,-4.643811,-4.973185,-8.203546,-0.555637
beta_loc_43_pop_0,-2.461313,-2.629000,-5.940791,1.195027
beta_loc_44_pop_0,1.711925,1.726245,-0.993771,5.197202
beta_loc_45_pop_0,6.421382,6.295373,3.386623,10.399184
beta_loc_46_pop_0,3.734673,4.030845,-0.988196,7.750186
beta_loc_47_pop_0,-2.073052,-2.262120,-5.827333,2.911379
beta_loc_48_pop_0,0.434273,-0.024557,-3.629134,6.428269
beta_loc_49_pop_0,-0.014027,-0.171061,-3.434520,3.527728
beta_loc_50_pop_0,5.473820,6.089568,0.555167,11.378214
beta_loc_51_pop_0,4.113816,3.173477,-0.098028,10.151755
beta_loc_52_pop_0,-8.608835,-8.616161,-15.938285,-3.089587
beta_loc_53_pop_0,2.193045,1.276450,-2.269200,7.330352
beta_loc_54_pop_0,3.153227,3.254949,-0.984796,6.436527
beta_loc_55_pop_0,2.725574,2.616632,-0.665517,5.564945
beta_loc_56_pop_0,0.616401,0.400744,-2.175922,5.117046
beta_loc_57_pop_0,-4.124728,-4.776549,-7.672975,1.828005
beta_loc_58_pop_0,3.628802,3.533744,0.143719,8.051872
beta_loc_59_pop_0,5.896496,4.960549,1.787923,11.354987
beta_loc_60_pop_0,1.703042,1.376521,-2.912393,6.311804
beta_loc_61_pop_0,1.198783,1.220065,-0.993180,3.352909
beta_loc_62_pop_0,-4.698977,-4.770374,-7.548343,-1.814254
beta_loc_63_pop_0,7.539266,8.607369,-0.456512,12.364643
beta_loc_64_pop_0,0.968384,0.909693,-3.165832,6.053077
beta_loc_65_pop_0,1.637714,1.607930,-1.708424,5.756681
beta_loc_66_pop_0,-3.164965,-3.144847,-6.518996,-0.105895
beta_loc_67_pop_0,2.294202,1.747098,-0.994893,7.203279
beta_loc_68_pop_0,6.625780,7.872778,-1.499667,13.975406
beta_loc_69_pop_0,6.931048,5.802878,2.689273,12.195568
beta_loc_70_pop_0,-2.608401,-2.460211,-6.736796,2.414249
beta_loc_71_pop_0,4.460406,5.437472,-0.906351,10.532584
beta_loc_72_pop_0,-4.353082,-4.545022,-7.461670,-1.508340
beta_loc_73_pop_0,5.442035,5.143388,0.510604,10.427252
beta_loc_74_pop_0,0.901825,1.011300,-2.387026,4.315777
beta_loc_75_pop_0,-5.569871,-4.866277,-12.147911,-0.598217
beta_loc_76_pop_0,-4.771586,-4.732428,-6.970721,-2.249281
beta_loc_77_pop_0,-2.628402,-4.059139,-6.733145,2.763941
beta_loc_78_pop_0,-2.976033,-3.453217,-6.250789,2.149918
beta_loc_79_pop_0,6.615870,6.626263,3.214657,9.345391
beta_loc_80_pop_0,0.937802,0.844971,-1.822201,4.758029
beta_loc_81_pop_0,5.366056,4.657937,0.405637,10.347539
beta_loc_82_pop_0,-1.783939,-3.215327,-7.362547,6.642023
beta_loc_83_pop_0,-4.389259,-4.667945,-8.521926,-0.038612
beta_loc_84_pop_0,-4.991118,-4.872081,-8.818265,-2.176304
beta_loc_85_pop_0,1.533839,1.895268,-4.812249,5.058592
beta_loc_86_pop_0,-3.119035,-4.092951,-7.163674,1.243548
beta_loc_87_pop_0,-9.667515,-8.665458,-17.443748,-3.001310
beta_loc_88_pop_0,5.969899,4.275957,-0.309738,17.444945
beta_loc_89_pop_0,-5.421200,-5.244631,-8.843884,-3.018796
beta_loc_90_pop_0,-6.642481,-5.629911,-14.155315,-1.307779
beta_loc_91_pop_0,0.931121,0.650176,-2.552728,4.234877
beta_loc_92_pop_0,-5.013374,-4.700655,-8.742281,-2.453105
beta_loc_93_pop_0,1.103573,1.051743,-0.901300,3.456670
beta_loc_94_pop_0,1.806854,2.065850,-0.994690,5.181811
beta_loc_95_pop_0,3.830377,3.995370,-0.710205,9.194286
beta_loc_96_pop_0,3.888955,4.128397,-0.081079,5.928571
beta_loc_97_pop_0,-4.554919,-4.326585,-8.208157,-2.053916
beta_loc_98_pop_0,3.204255,3.398437,-0.038270,6.265807
beta_loc_99_pop_0,-4.887760,-4.633045,-11.043921,0.886551
beta_loc_100_pop_0,0.896904,0.649539,-0.970477,3.675822
beta_loc_101_pop_0,4.167947,5.108204,-1.717792,10.665345
beta_loc_102_pop_0,-3.485656,-3.432335,-6.557205,-1.087025
