param,mean,median,1.000_CI_LB,1.000_CI_UB
alpha_loc_0_pop_0,0.277084,0.256488,-1.574204,1.616034
alpha_loc_1_pop_0,-0.008281,0.014826,-1.739436,1.282452
alpha_loc_2_pop_0,1.355871,1.240802,-0.969385,4.155242
alpha_loc_3_pop_0,-0.741411,-0.345318,-3.743871,0.846107
alpha_loc_4_pop_0,0.254966,0.005687,-2.086941,3.075132
alpha_loc_5_pop_0,-1.305575,-1.407669,-3.445414,1.684531
alpha_loc_6_pop_0,2.726484,2.713563,0.193959,5.357843
alpha_loc_7_pop_0,0.128955,0.205186,-1.957561,1.746420
alpha_loc_8_pop_0,0.054153,0.032473,-1.038057,1.612827
alpha_loc_9_pop_0,-1.048311,-1.143570,-2.283208,0.914333
alpha_loc_10_pop_0,-0.994510,-1.107265,-2.794358,0.935190
alpha_loc_11_pop_0,-0.201864,-0.207046,-1.634010,0.960880
alpha_loc_12_pop_0,0.159947,0.192672,-1.639926,1.528736
alpha_loc_13_pop_0,0.147354,0.124874,-0.989851,1.272929
alpha_loc_14_pop_0,1.011764,1.280145,-2.014116,3.596095
alpha_loc_15_pop_0,-1.820186,-1.829839,-3.784812,0.056086
alpha_loc_16_pop_0,0.108658,0.034372,-1.618993,2.232002
alpha_loc_17_pop_0,-1.641485,-1.603040,-3.790071,0.465396
alpha_loc_18_pop_0,1.163992,0.699942,-0.614262,4.021640
alpha_loc_19_pop_0,0.913689,0.863340,-0.576540,2.548884
alpha_loc_20_pop_0,1.486243,1.361074,0.332208,3.830283
alpha_loc_21_pop_0,1.272214,1.361338,-0.408700,2.871288
alpha_loc_22_pop_0,1.001091,1.042578,-0.452041,2.350852
alpha_loc_23_pop_0,-0.206967,-0.671357,-2.244604,2.848502
alpha_loc_24_pop_0,-0.113492,-0.234549,-2.330165,2.144873
alpha_loc_25_pop_0,-0.465568,-0.611307,-2.773052,2.142301
alpha_loc_26_pop_0,-0.135901,-0.509087,-2.696558,3.515047
alpha_loc_27_pop_0,1.155512,1.123899,0.024539,2.249726
alpha_loc_28_pop_0,-0.101775,-0.094833,-2.195638,1.936742
